"Time","112_evt"
1590777332768,1
1590777332773,0
1590777332893,1
1590777332897,0
1590777333018,1
1590777333022,0
1590777333142,1
1590777333147,0
1590777333267,1
1590777333272,0
1590777333392,1
1590777333396,0
1590777333517,1
1590777333521,0
1590777333642,1
1590777333646,0
1590777333766,1
1590777333771,0
1590777333891,1
1590777333896,0
1590777334016,1
1590777334020,0
1590777334141,1
1590777334145,0
1590777334265,1
1590777334270,0
1590777334390,1
1590777334395,0
1590777334515,1
1590777334520,0
1590777334640,1
1590777334644,0
1590777334765,1
1590777334769,0
1590777334889,1
1590777334894,0
1590777335014,1
1590777335019,0
1590777335139,1
1590777335144,0
1590777335264,1
1590777335268,0
1590777335389,1
1590777335393,0
1590777335513,1
1590777335518,0
1590777335638,1
1590777335643,0
1590777335763,1
1590777335767,0
1590777335888,1
1590777335892,0
1590777336013,1
1590777336017,0
1590777336137,1
1590777336142,0
1590777336262,1
1590777336267,0
1590777336387,1
1590777336391,0
1590777336512,1
1590777336516,0
1590777336636,1
1590777336641,0
1590777336761,1
1590777336766,0
1590777336886,1
1590777336891,0
1590777337011,1
1590777337015,0
1590777337136,1
1590777337140,0
1590777337260,1
1590777337265,0
1590777337385,1
1590777337390,0
1590777337510,1
1590777337515,0
1590777337635,1
1590777337639,0
1590777337759,1
1590777337764,0
1590777337884,1
1590777337889,0
1590777338009,1
1590777338014,0
1590777338134,1
1590777338138,0
1590777338259,1
1590777338263,0
1590777338383,1
1590777338388,0
1590777338508,1
1590777338513,0
1590777338633,1
1590777338638,0
1590777338758,1
1590777338762,0
1590777338883,1
1590777338887,0
1590777339007,1
1590777339012,0
1590777339132,1
1590777339137,0
1590777339257,1
1590777339262,0
1590777339382,1
1590777339386,0
1590777339507,1
1590777339511,0
1590777339631,1
1590777339636,0
1590777339756,1
1590777339761,0
1590777339881,1
1590777339886,0
1590777340006,1
1590777340010,0
1590777340130,1
1590777340135,0
1590777340255,1
1590777340260,0
1590777340380,1
1590777340385,0
1590777340505,1
1590777340509,0
1590777340630,1
1590777340634,0
1590777340754,1
1590777340759,0
1590777340879,1
1590777340884,0
1590777341004,1
1590777341009,0
1590777341129,1
1590777341133,0
1590777341254,1
1590777341258,0
1590777341379,1
1590777341383,0
1590777341503,1
1590777341508,0
1590777341628,1
1590777341633,0
1590777341753,1
1590777341757,0
1590777341878,1
1590777341882,0
1590777342003,1
1590777342007,0
1590777342127,1
1590777342132,0
1590777342252,1
1590777342257,0
1590777342377,1
1590777342381,0
1590777342502,1
1590777342506,0
1590777342626,1
1590777342631,0
1590777342751,1
1590777342756,0
1590777342876,1
1590777342880,0
1590777343001,1
1590777343005,0
1590777343126,1
1590777343130,0
1590777343250,1
1590777343255,0
1590777343375,1
1590777343380,0
1590777343500,1
1590777343504,0
1590777343625,1
1590777343629,0
1590777343749,1
1590777343754,0
1590777343874,1
1590777343879,0
1590777343999,1
1590777344004,0
1590777344124,1
1590777344128,0
1590777344249,1
1590777344253,0
1590777344373,1
1590777344378,0
1590777344498,1
1590777344503,0
1590777344623,1
1590777344628,0
1590777344748,1
1590777344752,0
1590777344873,1
1590777344877,0
1590777344997,1
1590777345002,0
1590777345122,1
1590777345127,0
1590777345247,1
1590777345251,0
1590777345372,1
1590777345376,0
1590777345496,1
1590777345501,0
1590777345621,1
1590777345626,0
1590777345746,1
1590777345751,0
1590777345871,1
1590777345875,0
1590777345996,1
1590777346000,0
1590777346120,1
1590777346125,0
1590777346245,1
1590777346250,0
1590777346370,1
1590777346375,0
1590777346495,1
1590777346499,0
1590777346620,1
1590777346624,0
1590777346745,1
1590777346749,0
1590777346869,1
1590777346874,0
1590777346994,1
1590777346999,0
1590777347119,1
1590777347123,0
1590777347244,1
1590777347248,0
1590777347369,1
1590777347373,0
1590777347493,1
1590777347498,0
1590777347618,1
1590777347622,0
1590777347743,1
1590777347747,0
1590777347868,1
1590777347872,0
1590777347992,1
1590777347997,0
1590777348117,1
1590777348122,0
1590777348242,1
1590777348246,0
1590777348367,1
1590777348371,0
1590777348492,1
1590777348496,0
1590777348616,1
1590777348621,0
1590777348741,1
1590777348746,0
1590777348866,1
1590777348870,0
1590777348991,1
1590777348995,0
1590777349115,1
1590777349120,0
1590777349240,1
1590777349245,0
1590777349365,1
1590777349370,0
1590777349490,1
1590777349494,0
1590777349615,1
1590777349619,0
1590777349739,1
1590777349744,0
1590777349864,1
1590777349869,0
1590777349989,1
1590777349993,0
1590777350114,1
