"Time","105_evt"
1590775766353,1
1590775766354,0
1590775766603,1
1590775766604,0
1590775767227,1
1590775767229,0
1590775767476,1
1590775767479,0
1590775768100,1
1590775768104,0
1590775768350,1
1590775768354,0
1590775768724,1
1590775768729,0
1590775768974,1
1590775768979,0
1590775769224,1
1590775769229,0
1590775769473,1
1590775769479,0
1590775769723,1
1590775769729,0
1590775769972,1
1590775769979,0
1590775770347,1
1590775770354,0
1590775770596,1
1590775770597,0
1590775770971,1
1590775770972,0
1590775771345,1
1590775771347,0
1590775771595,1
1590775771597,0
1590775771844,1
1590775771847,0
1590775772094,1
1590775772097,0
1590775772718,1
1590775772722,0
1590775772967,1
1590775772972,0
1590775773342,1
1590775773347,0
1590775773591,1
1590775773597,0
1590775773841,1
1590775773847,0
1590775774340,1
1590775774347,0
1590775774590,1
1590775774597,0
1590775774839,1
1590775774847,0
1590775775837,1
1590775775839,0
1590775776212,1
1590775776214,0
1590775776461,1
1590775776464,0
1590775776711,1
1590775776714,0
1590775777335,1
1590775777339,0
1590775777584,1
1590775777589,0
1590775777834,1
1590775777839,0
1590775778208,1
1590775778214,0
1590775778458,1
1590775778464,0
1590775778708,1
1590775778714,0
1590775778957,1
1590775778964,0
1590775779207,1
1590775779214,0
1590775779456,1
1590775779464,0
1590775779706,1
1590775779714,0
1590775779955,1
1590775779956,0
1590775780205,1
1590775780206,0
1590775780704,1
1590775780706,0
1590775780954,1
1590775780956,0
1590775781203,1
1590775781206,0
1590775781578,1
1590775781581,0
1590775781827,1
1590775781831,0
1590775782202,1
1590775782206,0
1590775782451,1
1590775782456,0
1590775782701,1
1590775782706,0
1590775783325,1
1590775783331,0
1590775783574,1
1590775783581,0
1590775784198,1
1590775784206,0
1590775784448,1
1590775784456,0
1590775784573,1
1590775784581,0
1590775784822,1
1590775784823,0
1590775785072,1
1590775785073,0
1590775785696,1
1590775785698,0
1590775785945,1
1590775785948,0
1590775786195,1
1590775786198,0
1590775786444,1
1590775786448,0
1590775786694,1
1590775786698,0
1590775786944,1
1590775786948,0
1590775787193,1
1590775787198,0
1590775787318,1
1590775787323,0
1590775788067,1
1590775788073,0
1590775789190,1
1590775789198,0
1590775789564,1
1590775789565,0
1590775789689,1
1590775789690,0
1590775790438,1
1590775790440,0
1590775790687,1
1590775790690,0
1590775790937,1
1590775790940,0
1590775791186,1
1590775791190,0
1590775791436,1
1590775791440,0
1590775791686,1
1590775791690,0
1590775792185,1
1590775792190,0
1590775793058,1
1590775793065,0
1590775793308,1
1590775793315,0
1590775793932,1
1590775793940,0
1590775794181,1
1590775794182,0
1590775794805,1
1590775794807,0
1590775795180,1
1590775795182,0
1590775795429,1
1590775795432,0
1590775795679,1
1590775795682,0
1590775795929,1
1590775795932,0
1590775796178,1
1590775796182,0
1590775796552,1
1590775796557,0
1590775796802,1
1590775796807,0
1590775797176,1
1590775797182,0
1590775797426,1
1590775797432,0
1590775797676,1
1590775797682,0
1590775798300,1
1590775798307,0
1590775798549,1
1590775798557,0
1590775798799,1
1590775798799,0
1590775799048,1
1590775799049,0
1590775799672,1
1590775799674,0
1590775799922,1
1590775799924,0
1590775800171,1
