"Time","105_evt"
1590778772739,1
1590778772745,0
1590778772988,1
1590778772995,0
1590778773238,1
1590778773245,0
1590778773487,1
1590778773495,0
1590778773737,1
1590778773738,0
1590778773987,1
1590778773988,0
1590778774486,1
1590778774488,0
1590778774735,1
1590778774738,0
1590778775110,1
1590778775113,0
1590778775359,1
1590778775363,0
1590778775609,1
1590778775613,0
1590778775858,1
1590778775863,0
1590778776108,1
1590778776113,0
1590778776358,1
1590778776363,0
1590778776732,1
1590778776738,0
1590778777356,1
1590778777363,0
1590778777606,1
1590778777613,0
1590778777855,1
1590778777863,0
1590778778354,1
1590778778355,0
1590778778604,1
1590778778605,0
1590778778853,1
1590778778855,0
1590778779103,1
1590778779105,0
1590778779353,1
1590778779355,0
1590778779602,1
1590778779605,0
1590778779852,1
1590778779855,0
1590778780101,1
1590778780105,0
1590778780351,1
1590778780355,0
1590778780600,1
1590778780605,0
1590778780850,1
1590778780855,0
1590778781100,1
1590778781105,0
1590778781349,1
1590778781355,0
1590778781599,1
1590778781605,0
1590778782098,1
1590778782105,0
1590778782223,1
1590778782230,0
1590778782722,1
1590778782730,0
1590778783346,1
1590778783347,0
1590778783595,1
1590778783597,0
1590778784219,1
1590778784222,0
1590778784469,1
1590778784472,0
1590778784718,1
1590778784722,0
1590778785093,1
1590778785097,0
1590778785342,1
1590778785347,0
1590778785592,1
1590778785597,0
1590778785842,1
1590778785847,0
1590778786091,1
1590778786097,0
1590778786341,1
1590778786347,0
1590778786590,1
1590778786597,0
1590778786840,1
1590778786847,0
1590778787090,1
1590778787097,0
1590778787339,1
1590778787347,0
1590778787713,1
1590778787714,0
1590778788088,1
1590778788089,0
1590778788337,1
1590778788339,0
1590778788961,1
1590778788964,0
1590778789211,1
1590778789214,0
1590778789460,1
1590778789464,0
1590778789710,1
1590778789714,0
1590778790084,1
1590778790089,0
1590778790334,1
1590778790339,0
1590778790584,1
1590778790589,0
1590778790833,1
1590778790839,0
1590778791332,1
1590778791339,0
1590778791582,1
1590778791589,0
1590778791956,1
1590778791964,0
1590778792206,1
1590778792214,0
1590778792455,1
1590778792456,0
